object,class,source,metric,min_x,max_x,min_y,max_y,min_z,max_z,width,length,height
a_cups,cup,YCB,symmetric_z,-0.02854299,0.02854299,-0.02871245,0.02871245,-0.03075796,0.03075796,0.05708598,0.0574249,0.06151592
a_lego_duplo,toy,YCB,symmetric_z180,-0.03205949,0.03205949,-0.01625746,0.01625746,-0.01196396,0.01196396,0.06411898,0.03251492,0.02392792
a_toy_airplane,toy,YCB,asymmetric,-0.129746,0.1313109,-0.131086,0.123678,-0.09171897,0.09171897,0.2610569,0.25476402,0.18343794
adjustable_wrench,hardware_tools,YCB,asymmetric,-0.105488,0.09786796,-0.03153395,0.02938497,-0.008869946,0.005573987,0.20335597,0.06091892,0.014443933
b_cups,cup,YCB,symmetric_z,-0.03047949,0.03047949,-0.03047198,0.03047198,-0.03198248,0.03198248,0.06095898,0.06094396,0.06396496
b_lego_duplo,toy,YCB,symmetric_z90,-0.01615995,0.01622295,-0.01612097,0.01612597,-0.021658,0.021658,0.032382898,0.03224694,0.043316
b_toy_airplane,toy,YCB,asymmetric,-0.04318195,0.096623,-0.08730697,0.054515,-0.02050298,0.03702497,0.13980496,0.14182197,0.057527952
banana,fruit,YCB,asymmetric,-0.101525,0.09517198,-0.05183899,0.02276498,-0.01836997,0.01836997,0.19669698,0.074603975,0.03673994
bleach_cleanser,bottle,YCB,asymmetric,-0.03384995,0.033849,-0.05121695,0.05121695,-0.12529,0.12529,0.067698956,0.1024339,0.25058
bowl,bowl,YCB,symmetric_z,-0.08073151,0.08073151,-0.08058196,0.08058196,-0.0275045,0.0275045,0.16146302,0.16116393,0.055009
c_cups,cup,YCB,symmetric_z,-0.03248697,0.03248697,-0.03255146,0.03255146,-0.03327798,0.03327798,0.06497394,0.06510292,0.06655596
c_lego_duplo,toy,YCB,symmetric_z180,-0.01694798,0.01694798,-0.0324105,0.0324105,-0.01185846,0.01185846,0.03389596,0.064821,0.02371692
c_toy_airplane,toy,YCB,symmetric_z180,-0.01532548,0.01532548,-0.01532149,0.01532149,-0.03336095,0.03336095,0.03065096,0.03064298,0.0667219
cracker_box,box,YCB,asymmetric,-0.106719,0.106719,-0.08201795,0.08201795,-0.03589999,0.03589999,0.213438,0.1640359,0.07179998
d_cups,cup,YCB,symmetric_z,-0.03534448,0.03534448,-0.03535145,0.03535145,-0.03446495,0.03446495,0.07068896,0.0707029,0.0689299
d_lego_duplo,toy,YCB,asymmetric,-0.02397698,0.02402597,-0.016182,0.01639497,-0.02156895,0.02156895,0.04800295,0.03257697,0.0431379
d_toy_airplane,toy,YCB,symmetric_z90,-0.01533597,0.01533597,-0.01535797,0.01535797,-0.03320598,0.03320598,0.03067194,0.03071594,0.06641196
e_cups,cup,YCB,symmetric_z,-0.03777146,0.03777146,-0.03763699,0.03763699,-0.03538894,0.03538894,0.07554292,0.07527398,0.07077788
e_lego_duplo,toy,YCB,symmetric_z180,-0.04823994,0.04785996,-0.01642495,0.01629298,-0.02159297,0.02159297,0.0960999,0.03271793,0.04318594
e_toy_airplane,toy,YCB,symmetric_z180,-0.01537895,0.01537895,-0.01539194,0.01539194,-0.03307849,0.03307849,0.0307579,0.03078388,0.06615698
extra_large_clamp,hardware_tools,YCB,symmetric_x180,-0.101543,0.101032,-0.08375799,0.08142298,-0.018103,0.01843899,0.202575,0.16518097,0.03654199
f_cups,cup,YCB,symmetric_z,-0.04036998,0.04036998,-0.04043596,0.04043596,-0.036089,0.036089,0.08073996,0.08087192,0.072178
f_lego_duplo,toy,YCB,symmetric_z90,-0.01620399,0.01621699,-0.01622396,0.01625394,-0.02171099,0.02171099,0.032420978,0.0324779,0.04342198
flat_screwdriver,hardware_tools,YCB,asymmetric,-0.106436,0.109712,-0.01821398,0.01626396,-0.01796895,0.01666098,0.21614799,0.03447794,0.034629934
foam_brick,toy,YCB,symmetric_z180,-0.038926,0.03863698,-0.025922,0.02621096,-0.02581,0.02533096,0.07756298,0.05213296,0.05114096
fork,silverware,YCB,asymmetric,-0.098787,0.098894,-0.01307696,0.014458,-0.007964968,0.007543981,0.19768101,0.02753496,0.015508949
g_cups,cup,YCB,symmetric_z,-0.04340898,0.04340898,-0.04383546,0.04383546,-0.03698199,0.03698199,0.08681796,0.08767092,0.07396398
g_lego_duplo,toy,YCB,asymmetric,-0.152116,0.150623,-0.05974894,0.06750696,-0.02999895,0.02999895,0.302739,0.1272559,0.0599979
gelatin_box,box,YCB,asymmetric,-0.03661495,0.03670895,-0.04462295,0.04455095,-0.01495397,0.01501899,0.073323905,0.0891739,0.02997296
h_cups,cup,YCB,symmetric_z,-0.04574745,0.04574745,-0.04580795,0.04580795,-0.03753149,0.03753149,0.0914949,0.0916159,0.07506298
hammer,hardware_tools,YCB,asymmetric,-0.177272,0.1534129,-0.07261097,0.05947399,-0.01643097,0.01643097,0.3306849,0.13208497,0.03286194
i_cups,cup,YCB,symmetric_z,-0.04908394,0.04908394,-0.04898595,0.04898595,-0.03777694,0.03777694,0.09816788,0.0979719,0.07555388
j_cups,cup,YCB,symmetric_z,-0.05120146,0.05120146,-0.05149745,0.05149745,-0.03774446,0.03774446,0.10240292,0.1029949,0.07548892
knife,silverware,YCB,asymmetric,-0.107496,0.107452,-0.01033896,0.01039999,-0.008838951,0.008361995,0.214948,0.02073895,0.017200947
large_clamp,hardware_tools,YCB,symmetric_x180,-0.08373296,0.08218199,-0.06225597,0.05938196,-0.01825499,0.01817798,0.16591495,0.12163793,0.03643297
large_marker,pen,YCB,symmetric_x180,-0.06037098,0.06048595,-0.009657979,0.009709954,-0.009446978,0.009446978,0.12085693,0.019367933,0.018893955
master_chef_can,can,YCB,asymmetric,-0.05126446,0.05126446,-0.05118846,0.05118846,-0.0700885,0.0700885,0.10252892,0.10237692,0.140177
medium_clamp,hardware_tools,YCB,symmetric_x180,-0.03886795,0.04604399,-0.03828495,0.03897798,-0.013098,0.01300799,0.08491194,0.07726293,0.026105989
mug,cup,YCB,asymmetric,-0.05844396,0.05848199,-0.04562497,0.04753094,-0.04065197,0.04065197,0.116925955,0.09315591,0.08130394
mustard_bottle,bottle,YCB,asymmetric,-0.02816897,0.02951198,-0.04794198,0.04797095,-0.09572798,0.09562999,0.05768095,0.09591293,0.19135797
nine_hole_peg_test,toy,YCB,asymmetric,-0.06871795,0.063353,-0.07373297,0.07865899,-0.02033799,0.02033799,0.13207096,0.15239197,0.04067598
phillips_screwdriver,hardware_tools,YCB,asymmetric,-0.105352,0.110868,-0.01608598,0.018278,-0.01730495,0.01684296,0.21621999,0.03436398,0.03414791
pitcher_base,kettle,YCB,asymmetric,-0.095043,0.09364497,-0.06768697,0.06538099,-0.121193,0.121193,0.18868798,0.13306797,0.242386
